iter	RMSE
0	2812.148039
1	2561.369092
2	2435.506594
3	2305.247634
4	2203.937334
5	2149.710697
6	2106.80213
7	2063.926794
8	2028.339207
9	2007.590006
10	1983.572494
11	1966.526148
12	1951.092802
13	1935.173239
14	1924.92697
15	1917.166218
16	1908.332894
17	1898.560182
18	1890.872112
19	1880.566935
20	1871.848206
21	1859.510949
22	1853.993388
23	1847.930172
24	1837.208331
25	1832.565424
26	1826.842338
27	1821.230709
28	1814.445199
29	1808.915252
30	1805.526438
31	1802.609035
32	1798.875375
33	1794.711487
34	1790.509152
35	1785.162256
36	1782.766118
37	1774.32265
38	1771.5457
39	1769.916405
40	1767.276244
41	1763.409819
42	1760.886219
43	1757.099404
44	1753.893471
45	1750.4262
46	1745.12609
47	1742.728103
48	1740.894729
49	1738.362237
50	1735.288426
51	1734.255371
52	1732.688638
53	1730.129578
54	1728.241111
55	1726.400686
56	1722.042675
57	1720.221517
58	1718.432867
59	1716.310084
60	1711.651273
61	1709.66688
62	1708.146565
63	1705.935888
64	1704.435621
65	1702.426058
66	1700.956705
67	1698.951761
68	1697.630755
69	1696.628409
70	1695.41434
71	1693.704203
72	1692.58385
73	1691.495287
74	1690.619012
75	1687.683985
76	1686.007984
77	1684.5031
78	1683.238429
79	1681.099334
80	1678.940345
81	1677.55182
82	1676.23587
83	1675.414772
84	1672.147534
85	1670.225992
86	1668.528658
87	1667.170276
88	1665.831491
89	1665.219431
90	1664.416706
91	1663.359387
92	1662.162445
93	1661.259946
94	1660.505629
95	1660.039297
96	1658.763095
97	1657.192698
98	1656.405927
99	1654.576486
100	1653.779658
101	1652.684192
102	1651.499603
103	1649.903456
104	1648.820025
105	1647.209207
106	1645.453495
107	1644.279745
108	1642.466273
109	1641.524801
110	1640.282705
111	1639.045684
112	1637.830551
113	1635.810906
114	1634.672984
115	1633.653789
116	1633.015317
117	1631.985242
118	1631.239636
119	1629.964103
120	1628.842238
121	1627.897467
122	1626.697322
123	1625.679822
124	1624.682577
125	1624.204738
126	1623.430391
127	1622.733593
128	1622.024381
129	1621.293117
130	1619.938825
131	1619.363735
132	1618.594942
133	1617.841168
134	1616.664327
135	1616.282312
136	1615.551499
137	1614.867853
138	1614.241178
139	1613.523452
140	1612.533757
141	1609.862667
142	1609.135756
143	1608.518626
144	1607.73503
145	1607.003432
146	1606.145819
147	1605.476145
148	1604.576378
149	1603.954517
150	1603.408491
151	1602.892722
152	1602.321887
153	1601.637661
154	1600.708641
155	1599.99537
156	1598.351922
157	1597.72752
158	1597.344384
159	1596.180145
160	1595.576353
161	1594.643334
162	1594.149813
163	1593.525941
164	1592.886986
165	1592.227622
166	1591.595096
167	1591.427008
168	1590.757478
169	1590.139147
170	1589.37244
171	1588.714511
172	1588.165986
173	1587.432074
174	1587.236386
175	1586.921191
176	1585.960033
177	1585.629749
178	1584.901231
179	1584.582412
180	1584.037474
181	1583.829526
182	1583.286267
183	1582.540626
184	1581.867393
185	1581.334085
186	1580.806226
187	1580.309072
188	1579.717836
189	1579.409994
190	1579.039862
191	1578.287267
192	1577.719884
193	1577.363119
194	1576.962649
195	1576.010672
196	1575.338376
197	1574.775882
198	1574.296787
199	1573.785774
200	1573.412078
201	1572.940554
202	1572.677599
203	1572.282577
204	1571.790997
205	1571.374465
206	1570.634099
207	1570.388633
208	1569.762242
209	1569.167565
210	1568.525557
211	1568.001845
212	1567.221664
213	1566.713384
214	1565.937193
215	1565.838545
216	1565.142177
217	1563.965491
218	1563.513274
219	1563.27728
220	1562.84744
221	1562.193837
222	1561.62526
223	1561.277927
224	1560.804777
225	1560.25892
226	1559.500911
227	1558.797031
228	1558.600629
229	1558.098485
230	1557.787949
231	1557.43092
232	1556.944206
233	1556.436594
234	1555.925173
235	1555.484181
236	1554.722932
237	1553.828787
238	1553.152982
239	1552.446385
240	1552.025458
241	1551.164831
242	1550.81819
243	1550.458204
244	1550.258988
245	1549.956961
246	1549.268359
247	1548.790572
248	1548.435094
249	1547.988455
250	1547.755426
251	1547.525723
252	1546.944541
253	1546.415738
254	1545.953805
255	1545.444563
256	1544.867435
257	1544.430425
258	1543.760148
259	1543.053006
260	1542.805679
261	1542.507952
262	1542.213457
263	1541.683977
264	1541.246648
265	1540.750237
266	1540.381729
267	1540.070296
268	1539.564198
269	1539.060273
270	1538.419017
271	1537.982846
272	1537.749696
273	1537.134874
274	1536.99536
275	1536.422363
276	1535.996992
277	1535.483968
278	1535.093153
279	1534.497077
280	1534.069937
281	1533.496526
282	1533.109381
283	1532.591289
284	1532.380346
285	1531.968989
286	1531.562326
287	1531.365573
288	1530.770313
289	1530.356192
290	1529.793827
291	1529.524095
292	1529.28282
293	1528.837261
294	1528.674749
295	1528.397989
296	1527.993656
297	1527.679004
298	1527.240295
299	1526.857375
300	1526.064758
301	1525.785781
302	1525.503256
303	1525.082239
304	1524.681638
305	1524.40733
306	1524.064052
307	1523.474231
308	1523.194982
309	1522.799175
310	1522.504757
311	1521.878872
312	1521.641664
313	1521.496132
314	1521.208198
315	1520.860144
316	1520.539708
317	1520.240267
318	1520.004696
319	1519.394974
320	1519.071598
321	1518.783664
322	1518.515983
323	1517.992791
324	1517.562836
325	1517.274967
326	1517.034888
327	1516.713149
328	1516.437699
329	1516.106508
330	1515.772173
331	1515.573312
332	1515.289961
333	1514.844483
334	1514.599853
335	1514.111385
336	1513.916039
337	1513.591426
338	1513.286444
339	1513.154544
340	1512.94324
341	1512.636749
342	1512.327637
343	1512.290017
344	1512.101897
345	1511.785532
346	1511.534334
347	1511.214589
348	1510.843811
349	1510.496686
350	1509.969895
351	1509.549857
352	1509.107141
353	1508.71143
354	1508.456826
355	1508.047349
356	1507.760961
357	1507.222601
358	1506.99276
359	1506.700355
360	1506.338924
361	1505.858356
362	1505.488184
363	1505.146767
364	1504.244026
365	1503.94558
366	1503.107081
367	1502.775209
368	1502.323518
369	1502.070511
370	1501.934881
371	1501.680839
372	1501.346354
373	1500.961542
374	1500.619694
375	1500.369425
376	1499.886324
377	1499.623155
378	1499.34229
379	1499.10119
380	1498.643401
381	1498.385882
382	1498.069653
383	1497.920393
384	1497.585922
385	1497.169104
386	1496.676758
387	1496.304985
388	1496.17819
389	1495.906131
390	1495.492445
391	1495.15596
392	1494.742187
393	1494.423407
394	1494.068671
395	1493.717735
396	1493.317813
397	1493.051324
398	1492.393836
399	1492.149083
400	1491.823351
401	1491.66903
402	1491.158507
403	1490.775209
404	1490.46176
405	1490.267215
406	1490.054826
407	1489.534669
408	1489.235548
409	1488.847189
410	1488.610957
411	1488.377445
412	1487.965213
413	1487.707506
414	1487.441889
415	1487.323215
416	1487.001187
417	1486.839159
418	1486.611821
419	1486.294474
420	1485.936882
421	1485.675476
422	1485.447312
423	1485.170682
424	1485.046877
425	1484.684874
426	1484.29869
427	1484.075944
428	1483.871034
429	1483.382264
430	1483.197843
431	1482.893431
432	1482.779198
433	1482.619958
434	1482.292015
435	1482.091599
436	1482.001749
437	1481.667661
438	1481.507029
439	1481.214273
440	1480.880414
441	1480.715717
442	1480.499756
443	1480.378347
444	1480.115866
445	1479.949073
446	1479.678171
447	1479.578329
448	1479.388043
449	1479.07306
450	1478.754829
451	1478.187554
452	1478.010212
453	1477.812738
454	1477.584249
455	1477.341113
456	1477.010002
457	1476.850618
458	1476.634914
459	1476.484713
460	1476.304666
461	1476.063789
462	1475.747771
463	1475.436552
464	1475.143478
465	1474.814008
466	1474.609888
467	1474.265329
468	1474.033793
469	1473.731326
470	1473.473093
471	1473.268066
472	1473.082331
473	1472.899413
474	1472.683971
475	1472.418246
476	1472.112081
477	1471.858364
478	1471.626605
479	1471.211565
480	1471.017697
481	1470.712928
482	1470.267556
483	1469.996386
484	1469.740835
485	1469.49851
486	1469.150528
487	1468.945647
488	1468.6865
489	1468.550154
490	1468.271283
491	1468.098816
492	1468.015552
493	1467.761065
494	1467.657232
495	1467.500459
496	1467.309247
497	1467.180964
498	1466.886854
499	1466.862746
500	1466.690301
501	1466.623671
502	1466.44683
503	1466.221755
504	1465.985934
505	1465.743659
506	1465.543839
507	1465.326425
508	1465.209565
509	1464.847044
510	1464.671187
511	1464.479201
512	1464.229457
513	1464.078041
514	1463.840044
515	1463.519856
516	1463.253222
517	1463.016981
518	1462.696285
519	1462.290617
520	1462.108545
521	1461.864451
522	1461.826903
523	1461.472391
524	1461.285517
525	1461.207367
526	1461.026666
527	1460.775422
528	1460.635949
529	1460.424008
530	1460.275879
531	1460.036018
532	1459.661413
533	1459.466942
534	1459.258605
535	1459.072881
536	1458.885616
537	1458.589056
538	1458.383841
539	1458.241208
540	1457.949
541	1457.688782
542	1457.569021
543	1457.282398
544	1457.047939
545	1456.788088
546	1456.703611
547	1456.446024
548	1456.234373
549	1456.080821
550	1455.958579
551	1455.737038
552	1455.524607
553	1455.479764
554	1455.18665
555	1455.079837
556	1454.798301
557	1454.704071
558	1454.295838
559	1454.095188
560	1453.827947
561	1453.551493
562	1453.424786
563	1453.182562
564	1452.956172
565	1452.801758
566	1452.592537
567	1452.379131
568	1452.166422
569	1452.034749
570	1451.776606
571	1451.536499
572	1451.519408
573	1451.41042
574	1451.178756
575	1450.990247
576	1450.607809
577	1450.208306
578	1449.995081
579	1449.825263
580	1449.666642
581	1449.598674
582	1449.366233
583	1448.991947
584	1448.795528
585	1448.589775
586	1448.426332
587	1448.190199
588	1447.878839
589	1447.627471
590	1447.543405
591	1447.263578
592	1447.022639
593	1446.795145
594	1446.548738
595	1446.400163
596	1446.110009
597	1445.876565
598	1445.553375
599	1445.404067
600	1445.268444
601	1445.102625
602	1444.852475
603	1444.672438
604	1444.497638
605	1444.333555
606	1443.680485
607	1443.422462
608	1443.372843
609	1443.229502
610	1443.017328
611	1442.790152
612	1442.645553
613	1442.45044
614	1442.294251
615	1442.140723
616	1442.01195
617	1441.966112
618	1441.830487
619	1441.627105
620	1441.474282
621	1441.40606
622	1441.23859
623	1440.964652
624	1440.870916
625	1440.712571
626	1440.487538
627	1440.318327
628	1440.208057
629	1439.922144
630	1439.778342
631	1439.708817
632	1439.471444
633	1439.347723
634	1439.164764
635	1439.020866
636	1438.902568
637	1438.635998
638	1438.3238
639	1438.073306
640	1437.971657
641	1437.819056
642	1437.29398
643	1437.115736
644	1436.916122
645	1436.799795
646	1436.586239
647	1436.464667
648	1436.346801
649	1436.212734
650	1436.054749
651	1435.867315
652	1435.67451
653	1435.346971
654	1435.190349
655	1434.801205
656	1434.512902
657	1434.242088
658	1433.919757
659	1433.754885
660	1433.5913
661	1433.351624
662	1433.157931
663	1433.022656
664	1432.879134
665	1432.632138
666	1432.49886
667	1432.308549
668	1432.201002
669	1432.02601
670	1431.895854
671	1431.760165
672	1431.483476
673	1431.315409
674	1430.965854
675	1430.755953
676	1430.699088
677	1430.418783
678	1430.117029
679	1429.896983
680	1429.723338
681	1429.391649
682	1429.184636
683	1429.134756
684	1428.889198
685	1428.717152
686	1428.534631
687	1428.501998
688	1428.323073
689	1428.056611
690	1427.857218
691	1427.818224
692	1427.667205
693	1427.487653
694	1427.094224
695	1426.932629
696	1426.787306
697	1426.522142
698	1426.386628
699	1426.233999
700	1426.117207
701	1425.999289
702	1425.864069
703	1425.700448
704	1425.559469
705	1425.252528
706	1425.116495
707	1425.015254
708	1424.862109
709	1424.629619
710	1424.408528
711	1424.176199
712	1423.776279
713	1423.514954
714	1423.252962
715	1423.03481
716	1422.828029
717	1422.693146
718	1422.486076
719	1422.242512
720	1421.943926
721	1421.779248
722	1421.472358
723	1421.245409
724	1421.10413
725	1420.931176
726	1420.843111
727	1420.698942
728	1420.457048
729	1420.177432
730	1419.937517
731	1419.807066
732	1419.713256
733	1419.583815
734	1419.37624
735	1419.25305
736	1419.183286
