iter	Passed	Remaining
0	88	88455
1	105	52741
2	122	40776
3	141	35285
4	160	31863
5	186	30828
6	223	31743
7	243	30209
8	271	29910
9	288	28558
10	307	27603
11	328	27025
12	345	26264
13	365	25710
14	383	25170
15	402	24759
16	420	24309
17	437	23873
18	454	23462
19	470	23075
20	489	22798
21	508	22625
22	528	22448
23	544	22146
24	562	21921
25	582	21813
26	599	21601
27	616	21416
28	634	21256
29	653	21114
30	671	20999
31	688	20824
32	705	20678
33	722	20538
34	740	20426
35	761	20385
36	777	20245
37	796	20161
38	813	20054
39	829	19915
40	846	19800
41	865	19744
42	882	19638
43	900	19570
44	917	19481
45	935	19397
46	953	19337
47	970	19241
48	988	19178
49	1005	19105
50	1022	19020
51	1038	18940
52	1055	18862
53	1073	18810
54	1090	18737
55	1106	18659
56	1123	18595
57	1143	18569
58	1159	18487
59	1176	18432
60	1197	18426
61	1213	18365
62	1231	18312
63	1247	18249
64	1265	18206
65	1283	18165
66	1301	18127
67	1319	18081
68	1335	18022
69	1351	17962
70	1368	17907
71	1389	17904
72	1409	17894
73	1424	17825
74	1445	17825
75	1465	17816
76	1487	17831
77	1508	17829
78	1523	17765
79	1544	17760
80	1561	17716
81	1580	17696
82	1598	17659
83	1617	17640
84	1638	17640
85	1657	17615
86	1675	17579
87	1696	17579
88	1712	17533
89	1731	17504
90	1749	17476
91	1766	17433
92	1786	17423
93	1805	17397
94	1833	17462
95	1851	17433
96	1868	17396
97	1891	17413
98	1907	17361
99	1924	17319
100	1946	17323
101	1966	17316
102	1991	17345
103	2010	17320
104	2030	17309
105	2050	17296
106	2068	17267
107	2091	17271
108	2109	17244
109	2129	17229
110	2147	17201
111	2165	17171
112	2184	17147
113	2202	17115
114	2219	17082
115	2238	17061
116	2254	17014
117	2272	16985
118	2295	16997
119	2314	16972
120	2338	16987
121	2356	16959
122	2375	16934
123	2399	16949
124	2418	16927
125	2434	16889
126	2451	16849
127	2467	16809
128	2487	16792
129	2503	16751
130	2521	16729
131	2538	16695
132	2554	16654
133	2571	16622
134	2588	16587
135	2605	16551
136	2622	16517
137	2638	16482
138	2655	16446
139	2672	16416
140	2690	16392
141	2709	16370
142	2726	16342
143	2745	16319
144	2763	16297
145	2781	16267
146	2798	16239
147	2816	16211
148	2834	16187
149	2853	16169
150	2871	16147
151	2891	16130
152	2916	16143
153	2945	16182
154	2962	16153
155	2981	16128
156	3000	16109
157	3017	16079
158	3034	16048
159	3062	16077
160	3079	16046
161	3097	16020
162	3114	15991
163	3130	15957
164	3147	15927
165	3166	15909
166	3182	15876
167	3198	15838
168	3215	15809
169	3232	15780
170	3249	15751
171	3267	15729
172	3285	15707
173	3301	15672
174	3316	15635
175	3334	15610
176	3351	15583
177	3367	15552
178	3386	15531
179	3403	15506
180	3422	15486
181	3438	15453
182	3454	15422
183	3473	15404
184	3491	15383
185	3508	15354
186	3525	15329
187	3543	15303
188	3559	15274
189	3576	15245
190	3592	15216
191	3610	15194
192	3631	15185
193	3648	15158
194	3665	15132
195	3684	15112
196	3702	15091
197	3719	15065
198	3738	15048
199	3755	15022
200	3772	14994
201	3790	14972
202	3804	14938
203	3825	14926
204	3842	14900
205	3858	14873
206	3878	14857
207	3893	14827
208	3911	14802
209	3927	14775
210	3944	14751
211	3963	14732
212	3980	14706
213	3997	14683
214	4014	14658
215	4029	14624
216	4047	14603
217	4065	14583
218	4080	14553
219	4098	14532
220	4117	14513
221	4134	14489
222	4153	14470
223	4170	14446
224	4187	14423
225	4205	14403
226	4223	14380
227	4241	14361
228	4257	14334
229	4274	14311
230	4291	14286
231	4307	14258
232	4324	14236
233	4343	14217
234	4383	14268
235	4402	14253
236	4427	14254
237	4445	14232
238	4465	14217
239	4488	14213
240	4505	14190
241	4524	14171
242	4541	14148
243	4557	14119
244	4572	14091
245	4590	14069
246	4608	14050
247	4625	14024
248	4642	14000
249	4659	13978
250	4675	13951
251	4692	13928
252	4712	13914
253	4731	13895
254	4747	13870
255	4764	13846
256	4782	13827
257	4799	13803
258	4817	13781
259	4834	13760
260	4852	13739
261	4871	13722
262	4888	13698
263	4905	13676
264	4922	13651
265	4937	13625
266	4954	13601
267	4970	13576
268	4989	13558
269	5007	13538
270	5024	13515
271	5040	13489
272	5056	13464
273	5073	13442
274	5089	13417
275	5107	13397
276	5125	13377
277	5142	13356
278	5159	13333
279	5178	13314
280	5195	13294
281	5213	13272
282	5229	13249
283	5246	13226
284	5263	13204
285	5279	13180
286	5298	13163
287	5315	13140
288	5333	13120
289	5350	13098
290	5370	13084
291	5388	13064
292	5405	13042
293	5421	13019
294	5437	12993
295	5453	12971
296	5471	12951
