iter	Passed	Remaining
0	6	6391
1	10	5000
2	11	3698
3	12	3036
4	13	2647
5	14	2390
6	15	2205
7	16	2060
8	17	1951
9	19	1892
10	21	1938
11	22	1875
12	26	2020
13	29	2104
14	31	2039
15	32	1987
16	43	2502
17	45	2470
18	46	2423
19	48	2381
20	54	2521
21	57	2578
22	59	2510
23	60	2448
24	61	2393
25	62	2345
26	63	2296
27	64	2251
28	66	2210
29	67	2173
30	68	2135
31	69	2111
32	71	2086
33	73	2091
34	74	2061
35	75	2031
36	77	2015
37	78	1988
38	80	1980
39	87	2090
40	88	2081
41	90	2055
42	91	2030
43	92	2012
44	93	1990
45	94	1967
46	95	1945
47	97	1928
48	98	1909
49	100	1903
50	101	1886
51	102	1868
52	103	1851
53	104	1836
54	105	1820
55	107	1810
56	108	1795
57	109	1780
58	110	1766
59	111	1752
60	113	1742
61	114	1732
62	115	1720
63	116	1708
64	117	1696
65	119	1686
66	120	1674
67	121	1663
68	122	1658
69	124	1648
70	125	1638
71	126	1628
72	127	1618
73	128	1610
74	130	1606
75	131	1597
76	132	1588
77	133	1579
78	134	1570
79	135	1563
80	137	1557
81	138	1550
82	139	1543
83	140	1534
84	141	1526
85	142	1519
86	144	1515
87	147	1525
88	148	1517
89	149	1512
90	150	1506
91	152	1506
92	154	1504
93	155	1497
94	156	1491
95	157	1484
96	159	1484
97	161	1485
98	162	1479
99	164	1480
100	168	1499
101	169	1493
102	170	1487
103	172	1484
104	173	1481
105	186	1576
106	201	1678
107	202	1671
108	206	1688
109	215	1746
110	217	1738
111	218	1729
112	219	1725
113	227	1770
114	230	1774
115	231	1766
116	232	1757
117	234	1749
118	239	1769
119	246	1810
120	248	1802
121	249	1798
122	257	1837
123	260	1840
124	262	1834
125	263	1825
126	264	1816
127	265	1810
128	268	1812
129	269	1803
130	270	1796
131	273	1796
132	274	1787
133	275	1780
134	276	1771
135	277	1764
136	278	1756
137	283	1769
138	289	1792
139	291	1788
140	292	1784
141	294	1777
142	295	1773
143	308	1833
144	309	1825
145	311	1822
146	313	1819
147	315	1815
148	319	1822
149	321	1824
150	323	1818
151	324	1812
152	326	1805
153	328	1804
154	330	1804
155	332	1797
156	333	1789
157	334	1782
158	336	1778
159	346	1821
160	348	1818
161	350	1815
162	356	1828
163	358	1825
164	359	1818
165	361	1816
166	362	1809
167	364	1802
168	365	1797
169	366	1790
170	368	1785
171	369	1779
172	371	1775
173	379	1801
174	382	1805
175	386	1807
176	387	1800
177	388	1795
178	390	1789
179	391	1782
180	392	1775
181	393	1768
182	394	1762
183	396	1756
184	397	1750
185	398	1743
186	400	1739
187	406	1755
188	408	1754
189	409	1747
190	411	1743
191	412	1737
192	413	1730
193	415	1724
194	416	1718
195	417	1713
196	419	1707
197	420	1702
198	421	1696
199	422	1690
200	423	1684
201	424	1677
202	425	1672
203	427	1669
204	428	1663
205	430	1657
206	431	1652
207	432	1646
208	433	1641
209	434	1636
210	436	1630
211	437	1624
212	438	1619
213	439	1613
214	440	1608
215	442	1604
216	443	1598
217	444	1593
218	445	1588
219	446	1582
220	447	1578
221	449	1575
222	450	1570
223	452	1565
224	453	1562
225	454	1557
226	455	1552
227	457	1548
228	458	1543
229	459	1538
230	460	1533
231	461	1528
232	463	1526
233	464	1522
234	466	1517
235	467	1512
236	468	1508
237	469	1503
238	470	1498
239	472	1495
240	473	1490
241	474	1486
242	475	1481
243	476	1477
244	477	1472
245	479	1469
246	480	1465
247	481	1460
248	482	1456
249	484	1452
250	485	1448
251	486	1444
252	489	1444
253	490	1440
254	491	1435
255	492	1431
256	493	1427
257	496	1427
258	497	1423
259	499	1420
260	500	1416
261	501	1412
262	503	1411
263	504	1407
264	506	1403
265	507	1399
266	508	1395
267	510	1393
268	512	1391
269	513	1387
270	514	1383
271	516	1381
272	518	1381
273	519	1377
274	520	1373
275	522	1369
276	523	1366
277	532	1384
278	535	1383
279	536	1380
280	538	1376
281	539	1373
282	545	1380
283	551	1391
284	553	1387
285	554	1383
286	556	1382
287	564	1395
288	567	1395
289	568	1391
290	569	1387
291	570	1383
292	574	1387
293	584	1404
294	586	1401
295	590	1404
296	594	1408
297	596	1405
298	598	1403
299	599	1399
300	602	1398
301	605	1399
302	606	1396
303	608	1393
304	612	1395
305	613	1392
306	615	1388
307	616	1384
308	618	1382
309	623	1387
310	626	1387
311	628	1384
312	629	1381
313	630	1377
314	631	1373
315	641	1389
316	643	1386
317	646	1387
318	648	1384
319	652	1385
320	659	1394
321	661	1392
322	662	1389
323	663	1385
324	666	1384
325	667	1380
326	668	1376
327	669	1372
328	674	1376
329	677	1374
330	679	1372
331	684	1376
332	685	1372
333	686	1369
334	688	1366
335	690	1364
336	692	1361
337	694	1359
338	698	1362
339	700	1359
340	708	1368
341	717	1379
342	734	1407
343	741	1414
344	743	1411
345	745	1408
346	751	1414
347	756	1416
348	757	1412
349	758	1408
350	760	1406
351	764	1407
352	765	1403
353	767	1399
354	768	1395
355	769	1391
356	770	1388
357	772	1384
358	773	1380
359	774	1376
360	775	1372
361	776	1368
362	778	1365
363	779	1361
364	780	1358
365	782	1355
366	783	1351
367	784	1347
368	786	1345
369	787	1341
370	789	1337
371	790	1333
372	791	1330
373	792	1326
374	793	1323
375	795	1319
376	796	1315
377	797	1312
378	798	1308
379	799	1305
380	801	1302
381	802	1298
382	803	1294
383	804	1291
384	806	1288
385	809	1287
386	810	1284
387	811	1280
388	813	1277
389	814	1273
390	815	1270
391	816	1267
392	817	1263
393	819	1259
394	820	1256
395	821	1252
396	822	1249
397	824	1247
398	825	1243
399	827	1240
400	828	1237
401	829	1234
402	831	1232
403	833	1230
404	834	1226
405	835	1223
406	837	1219
407	838	1216
408	840	1215
409	842	1211
410	843	1208
411	844	1205
412	846	1202
413	848	1200
414	849	1197
415	850	1193
416	851	1190
417	852	1187
418	856	1187
419	857	1184
420	858	1181
421	859	1177
422	862	1176
423	865	1175
424	866	1172
425	867	1168
426	869	1167
427	879	1175
428	883	1175
429	886	1174
430	891	1176
431	903	1188
432	913	1196
433	914	1193
434	917	1191
435	928	1201
436	930	1198
437	933	1198
438	938	1199
439	941	1198
440	942	1195
441	944	1191
442	946	1189
443	949	1188
444	953	1189
445	956	1187
446	957	1184
447	958	1180
448	959	1177
449	960	1174
450	961	1171
451	964	1169
452	966	1166
453	967	1163
454	968	1160
455	970	1157
456	973	1156
457	974	1152
458	975	1149
459	976	1146
460	977	1143
461	979	1140
462	980	1137
463	981	1133
464	982	1130
465	984	1127
466	985	1124
467	986	1121
468	987	1117
469	988	1114
470	989	1111
471	991	1109
472	992	1106
473	994	1103
474	995	1100
475	996	1096
476	997	1093
477	1000	1092
478	1001	1089
479	1002	1086
480	1003	1083
481	1004	1079
482	1007	1078
483	1008	1075
484	1010	1072
485	1011	1069
486	1012	1066
487	1015	1065
488	1017	1063
489	1019	1060
490	1020	1057
491	1022	1055
492	1023	1052
493	1025	1050
494	1034	1055
495	1037	1053
496	1038	1051
497	1040	1048
498	1050	1054
499	1052	1052
500	1054	1050
501	1059	1050
502	1087	1074
503	1089	1072
504	1092	1070
505	1094	1068
506	1099	1069
507	1100	1066
508	1101	1063
509	1103	1059
510	1108	1061
511	1113	1061
512	1115	1059
513	1116	1056
514	1117	1052
515	1119	1049
516	1124	1050
517	1127	1048
518	1129	1046
519	1130	1043
520	1131	1040
521	1133	1037
522	1134	1034
523	1135	1031
524	1139	1030
525	1141	1028
526	1142	1025
527	1143	1022
528	1146	1020
529	1147	1017
530	1148	1014
531	1149	1011
532	1150	1008
533	1152	1005
534	1154	1003
535	1155	1000
536	1156	997
537	1162	998
538	1163	995
539	1165	992
540	1167	990
541	1176	994
542	1178	991
543	1179	988
544	1181	986
545	1187	987
546	1193	988
547	1194	985
548	1197	983
549	1208	989
550	1210	986
551	1216	987
552	1221	987
553	1223	984
554	1224	981
555	1226	979
556	1239	985
557	1241	983
558	1242	980
559	1247	979
560	1255	982
561	1259	981
